filename,y_true,y_pred,prob_pred
adapter_plate_triangular000003.jpg,0,6,0.9114205
adapter_plate_triangular000015.jpg,0,8,0.9524922
adapter_plate_triangular000016.jpg,0,2,0.52461284
adapter_plate_triangular001014.jpg,0,2,0.6991042
adapter_plate_triangular001201.jpg,0,2,0.88557625
adapter_plate_triangular001409.jpg,0,9,0.55284154
adapter_plate_triangular001617.jpg,0,2,0.9830645
adapter_plate_triangular001803.jpg,0,2,0.8517537
adapter_plate_triangular002807.jpg,0,7,0.74362236
adapter_plate_triangular002814.jpg,0,8,0.98586464
adapter_plate_triangular003211.jpg,0,2,0.785795
adapter_plate_triangular003601.jpg,0,2,0.6881674
adapter_plate_triangular003608.jpg,0,2,0.62891376
adapter_plate_triangular003610.jpg,0,6,0.99461985
adapter_plate_triangular003618.jpg,0,2,0.76080513
adapter_plate_triangular003805.jpg,0,9,0.85632807
adapter_plate_triangular003818.jpg,0,9,0.7267366
adapter_plate_triangular004205.jpg,0,7,0.61812204
adapter_plate_triangular004406.jpg,0,2,0.60130745
adapter_plate_triangular004607.jpg,0,2,0.63616914
adapter_plate_triangular004618.jpg,0,7,0.52121145
adapter_plate_triangular005204.jpg,0,2,0.8860887
adapter_plate_triangular005214.jpg,0,8,0.96830946
adapter_plate_triangular005401.jpg,0,9,0.6082932
adapter_plate_triangular005414.jpg,0,2,0.7696582
adapter_plate_triangular006806.jpg,0,9,0.7900524
adapter_plate_triangular007203.jpg,0,2,0.6958156
adapter_plate_triangular007217.jpg,0,6,0.93485636
adapter_plate_triangular007601.jpg,0,7,0.47223735
adapter_plate_triangular007610.jpg,0,2,0.9176534
adapter_plate_triangular007812.jpg,0,2,0.5854675
adapter_plate_triangular007816.jpg,0,2,0.9107469
adapter_plate_triangular008002.jpg,0,6,0.57542413
adapter_plate_triangular008009.jpg,0,2,0.64653426
adapter_plate_triangular008400.jpg,0,2,0.650138
adapter_plate_triangular008612.jpg,0,8,0.92698646
adapter_plate_triangular008807.jpg,0,2,0.6212463
adapter_plate_triangular009604.jpg,0,6,0.5149377
adapter_plate_triangular009612.jpg,0,2,0.74972814
adapter_plate_triangular009804.jpg,0,9,0.8787917
adapter_plate_triangular009814.jpg,0,2,0.91529846
adapter_plate_triangular010205.jpg,0,6,0.92872083
adapter_plate_triangular010212.jpg,0,7,0.61284125
adapter_plate_triangular010413.jpg,0,8,0.5793817
adapter_plate_triangular010814.jpg,0,2,0.55454254
adapter_plate_triangular010819.jpg,0,7,0.43588433
adapter_plate_triangular011216.jpg,0,8,0.7601664
adapter_plate_triangular011409.jpg,0,2,0.76346004
adapter_plate_triangular011411.jpg,0,7,0.5424571
adapter_plate_triangular011417.jpg,0,7,0.8307163
adapter_plate_triangular011613.jpg,0,2,0.6894069
adapter_plate_triangular011807.jpg,0,8,0.67818457
adapter_plate_triangular012405.jpg,0,6,0.65030867
adapter_plate_triangular012603.jpg,0,2,0.8187564
adapter_plate_triangular013204.jpg,0,7,0.67385995
adapter_plate_triangular013405.jpg,0,2,0.8270272
adapter_plate_triangular013406.jpg,0,8,0.82074314
adapter_plate_triangular013808.jpg,0,9,0.77540505
adapter_plate_triangular014204.jpg,0,6,0.4806118
adapter_plate_triangular014417.jpg,0,9,0.84122497
adapter_plate_triangular014606.jpg,0,2,0.58795017
adapter_plate_triangular014806.jpg,0,2,0.5435686
adapter_plate_triangular014811.jpg,0,9,0.8089463
adapter_plate_triangular014815.jpg,0,9,0.9750104
adapter_plate_triangular014816.jpg,0,6,0.46945623
adapter_plate_triangular015216.jpg,0,2,0.7717857
adapter_plate_triangular015412.jpg,0,2,0.55464965
adapter_plate_triangular015415.jpg,0,2,0.905161
adapter_plate_triangular017807.jpg,0,9,0.7491381
adapter_plate_triangular018004.jpg,0,2,0.90274537
adapter_plate_triangular018206.jpg,0,2,0.4860612
adapter_plate_triangular018414.jpg,0,7,0.411725
adapter_plate_triangular018600.jpg,0,2,0.70834714
adapter_plate_triangular019200.jpg,0,9,0.37578517
bracket_big000233.jpg,1,2,0.8344473
bracket_big000425.jpg,1,2,0.9947167
bracket_big001424.jpg,1,2,0.581789
bracket_big004033.jpg,1,2,0.9368848
bracket_big004827.jpg,1,5,0.7280007
bracket_big008028.jpg,1,4,0.91318023
bracket_big012026.jpg,1,2,0.9994266
bracket_big013031.jpg,1,4,0.53990483
bracket_big015037.jpg,1,2,0.9963535
bracket_big015824.jpg,1,6,0.7293734
bracket_big015829.jpg,1,2,0.7035561
bracket_big018228.jpg,1,2,0.94183016
clamp_small000442.jpg,2,7,0.8370572
clamp_small001057.jpg,2,0,0.7449178
clamp_small005242.jpg,2,6,0.747287
clamp_small005244.jpg,2,6,0.72708184
clamp_small007040.jpg,2,0,0.46509057
clamp_small007453.jpg,2,6,0.79984057
clamp_small008249.jpg,2,7,0.9237186
clamp_small009045.jpg,2,6,0.54736817
clamp_small011044.jpg,2,0,0.6328162
clamp_small012843.jpg,2,6,0.6967208
clamp_small013043.jpg,2,6,0.83592397
clamp_small015058.jpg,2,0,0.8752444
clamp_small015647.jpg,2,1,0.7313185
clamp_small018045.jpg,2,6,0.606793
clamp_small019459.jpg,2,6,0.5495763
